,artist,title,mood,lyrics,genre
373,New Radicals,I Don't Wanna Die Anymore,sad,"[Verse 1]
Two months of fun
Two years of pain
Add it up
And get a life of rain
Need to scream
But too ashamed
I'm gonna rain, I'm gonna rain
You wanna go, you wanna stay
You wanna
You really blew my world
I wanna live, and there's only one way

[Chorus]
I don't wanna die anymore
I want to live it up
I don't want this high anymore
But I can't give it up
I won't live a lie anymore
I need to give you up
Won't you save me?

[Verse 2]
Two months of sun
A life of rain
Add it up
I'm on my own again
Need to scream
I'm so filled with rage
Gonna rain, gonna rain
You wanna go, you wanna stay
You wanna
You really screwed my world
I gotta live, but you stand in the way
I'm pullin' out now, uh huh
[Chorus]
I don't wanna die anymore
I want to live it up
Don't want this high anymore
But I can't give it up
I won't live a lie anymore
I need to give you up

[Bridge]
Oh, oh oh
Oh oh baby, do you think that I was strong?
Oh oh baby, can't you see that you were wrong?
Oh oh honey, do you think that I was strong?
Ah

[Chorus]
I don't wanna die anymore
I want to live it up
I don't want this high anymore
But I can't give it up
I won't live a lie anymore
I need to give you, give you, give you
You got me really going out of my mind

[Outro]
Oh oh baby, do you think that I was strong?
Oh oh honey, can't you see that you were wrong?
Oh oh baby, do you think that I was strong?
Ahh
Oh oh baby, do you think that I was strong?
Oh oh honey, can't you see that you were wrong?
Oh oh baby, can't you see that's all we lost?EmbedShare URLCopyEmbedCopy",pop
374,Hot Hot Heat,This Town,happy,"Gonna walk right through this town
And laugh with a crowd of strangers chasing me
Never stop to look behind my back, so tell me what they said
Because I fear my life's in danger now in this town
How did you get to my motel -do tell soon
Gonna walk right through this town again with a crowd of strangers
Watching me, picking every little thing apart
So, tell me what they said because I get attitude from this town
-in this town. How did you get to this town?
...Through this town?
Gonna walk right through this town again knowing that I'm only here tonight
Never cared to stop and say hello;
So, tell me what they said because I don't have time to hang around in this town
Maybe... maybe I should think to stay
Maybe I won't ever return
Maybe... maybe I should stop and play
Gonna walk right through this town again
But, all I know is I really should be on my way
Wouldn't mind one more night in townEmbedShare URLCopyEmbedCopy",rock
375,Saliva,Back Into Your System,relaxed,"I've been gone away
But I'm back again...back with all my friends
I've been floatin' away
On a silver cloud...lined with all my wildest dreams

Chorus:
I'm back in your system now
And I've waited much too long (back in your system)
And I'm back in your system now
And I've finally come back home

I've been thinking of days
Back when we began...when we first made our first stand
And i get taken away
On a silver cloud...lined with all my wildest dreams

Chorus:
Im back in your system now
And I've waited much too long
And I'm back in your system now
And I've finally come back home

IM BACK INTO YOUR SYSTEM!
There's a way to find it, (repeat 3x)
There's a way to see it. (repeat 3x)
There's a way to get BACK INTO YOUR SYSTEM (repeat 3x)
SYSTEM!
My minds set

Chorus:(repeat 3x)
Im back in your system now
I've waited for much too long
Im back in your system now
And I've found my way back home

IM BACK IN YOUR SYSTEM
There's way to find it
There's a way to see it
There's a way to get BACK INTO YOUR SYSTEM
SYSTEM!EmbedShare URLCopyEmbedCopy",metal
376,Secondhand Serenade,End,sad,"Don't let me drown...

Don't let me down...

I tried to be
I can't get you out of my lonely mind
I'm suffering
How did I die?EmbedShare URLCopyEmbedCopy",folk/acoustic
377,Robert Plant,In The Mood,relaxed,"I'm in the mood for a melody
I'm in the mood for a melody
I'm in the mood

I'm in the mood for a melody
I'm in the mood for a melody
I'm in the mood

I'm in the mood for a melody
I'm in the mood for a melody
I'm in the mood

I can make you dance
I can make you sing
I can make you dance
I can make you sing
If you want me too

Oh, I can make you dance
I can make you sing
I can make you dance
I can make you sing
If you want me too

Oh, I can make you dance
I can make you sing
I can make you dance
I can make you sing
If you want me too
Any little song that you wanna to sing
Any little song that you wanna to sing
Any Song will do

Any little song that you wanna to sing
Little song that you wanna to sing
It's up to you

Any little song that you wanna to sing
Any little song that you wanna to sing
You're blue

I'm in the mood
I'm in the mood
I'm in the mood

I can write it on the door
I can put it on the floor
I can do anything that you want me for
If you want me to

Do it right, do it wrong
Cause a matter of fact it'll turn out to be strong
If you want me to

If you want me to
Oh, if you want me to
If you want me to
If you want toEmbedShare URLCopyEmbedCopy",rock
378,Johnossi,Man Must Dance,happy,"We're the people, the lucky
With the fragile bones
The ones who sit and worry
About getting too old
We're the people, the happy
With the broken hearts
The ones who draw a picture
And proclaim that it's art

But you, and you, and you and you
You're just an animal developed into
You and you and you and you
A monkey needs to dance so do you

We're the people, the lucky
With the fragile bones
The ones who sit and worry
About catching a cold
We're the people, the happy
With the broken hearts
The ones who draw a picture
And proclaim that it's art

But you, and you, and you and you
You're just an animal developed into
You and you and you and you
A monkey needs to dance so do you
You like to do it as a child on your own
You're in the jungle and the monkeys
Take your mind from your home
How many times do they have to tell you
That it's perfectly fine for you to dance around
Naked when you're all by yourself

Cause you, and you, and you and you
You're just an animal developed into
You and you and you and you
A monkey needs to dance so do you

We're the people, the lucky
With the fragile bones
The ones who sit and worry
About getting to old
You're the monkey in the jungle
Trying to find your place
The one who let the sunset
Bring a silly kind of smile on your face

But you, and you, and you and you
You're just an animal developed into
You and you and you and you
A monkey needs to dance so do you
You like to do it as a child on your own
You're in the jungle and the monkeys
Take your mind from your home
How many times do they have to tell you
That it's perfectly fine for you to dance around
Naked when you're all by yourself

Cause you, and you, and you and you
You're just an animal developed into
You and you and you and you
A monkey needs to dance so do you

A monkey needs to dance and so do youEmbedShare URLCopyEmbedCopy",rock
379,Eric Clapton,Reptile,relaxed,Instrumental,rock
380,Basement Jaxx,Cish Cash ,happy,"Yo yo yo yo

Miss that so you wanna kickback
All messed up and that's a fact
If you wanna risk that do that
Yo yo yo

Guess it's time for pay back
So you want your cish cash
Owe it all to splish splash
So mish mash you 'spect to go go go
Yo yo yo yo

You want it - you take it
You take it - you got it
You want it - you take it
You're insatiable!

It's not enough you want more of it
It's not enough must have all of it
Overflowing on overkill
All the hands are out for their pound of flesh

It makes the world spin round & round
The hands are out for their bloody pound
Overflowing on overkill
Sticky licky yummy yummy
Dipping in the milk & honey
You want it - you take it
You take it - you got it
You want it - you take it
You're insatiable!

They say it makes the world spin round

It's not enough you want more of it
It's not enough must have all of it
Overflowing on overkill
All the hands are out for their pound of flesh

It makes the world spin round & round
The hands are out for their bloody pound
Overflowing on overkill
Sticky licky yummy yummy
Dipping in the milk & honey

You want it - you take it
You take it - you got it
You want it - you take it
You're insatiable!

They say it makes the world spin round

They say it makes the world spin round
Miss that so you wanna kickback
All messed up and that's a fact
If you wanna risk that do that
Yo yo yo

Guess it's time for pay back
So you want your cish cash
Owe it all to splish splash
So mish mash you 'spect to go go go
Yo yo yo yo

You want it - you take it
You take it - you got it
You want it - you take it
You're insatiable!

Sticky licky yummy yummy
Dipping in the milk & honey

They say it makes the world spin round

Splish splash coming for your cish cashEmbedShare URLCopyEmbedCopy",rock
381,Ace of Base,Don't Turn Around,happy,"[Intro]
I will survive
Without you
Don't tell me that you wanna leave
Whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa

[Verse 1]
If you wanna leave
I won't beg you to stay
And if you gotta go, darling
Maybe it's better that way

[Pre-Chorus]
I'm gonna be strong, I'm gonna gonna be fine
Don't worry about this heart of mine
Walk out that door, see if I care
Go on and go, but...

[Chorus]
Don't turn around
Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go
But I won't let you know
I won't let you know
[Post-Chorus]
Whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa

[Verse 2]
I won't miss your arms around me
Holding me tight (holding me tight)
And if you ever think about me
Just know that I'll be alright (I'll be alright)

[Pre-Chorus]
I'm gonna be strong, I'm gonna gonna be fine
Don't worry about this heart of mine
I know I'll survive
I'll make it through
And I'll even learn to live without you

[Chorus]
Don't turn around
Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go
But I won't let you know
[Post-Chorus]
I wish I could scream out loud that I love you
I wish I could say to you: ""Don't go""

[Bridge]
As he walks away, he feels the pain getting strong
People in your life, they don't know what's going on
Too proud to turn around
He's gone

[Chorus]
Don't turn around
Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go

[Post-Chorus]
Baby, don't turn around!
Whoa, whoa, whoa, whoa
Don't turn around
Whoa, whoa, whoa, whoa
Just walk away (just walk away)
Whoa, whoa, whoa, whoa
It's tearing me apart that you're leaving
I'm letting you go
Don't turn around!
Whoa, whoa, whoa, whoa
Don't turn around
Whoa, whoa, whoa, whoa
Just walk away
Whoa, whoa, whoa, whoaEmbedShare URLCopyEmbedCopy",pop
382,Nerf Herder,High School,happy,"Don't bother going to class
'Cause nobody cares if you cut
And it's not smart to experiment
With Bengay on your nuts

If you ask her out and she says maybe
What she really means is ""no way""
And if you try jerking off behind the back-stop
The team will be playing that day
(Oh-god)

These are the things I wish I knew
These are the things I wish I knew in high school
Yeah, these are the things I wish I knew in high school

Don't call the head jock a fag
Even if it's true
And don't hold out for that one special girl
'Cause she'll never have sex with you
(No way)

These are the things I wish I knew
These are the things I wish I knew in high school
Yeah, these are the things I wish I knew in high school

Dont let 'em see ya crying
No matter how it hurts
And nobody ever got laid
'Cause they were wearing a Rush tee shirt
(No)
These are the things I wish I knew
(I wish I knew)
These are the things I wish I knew in high school
(The things I wish I knew)
Yeah
These are the things I wish I knew in high schoolEmbedShare URLCopyEmbedCopy",rock
383,Tina Turner,Steamy Windows,happy,"[Verse 1]
I was thinking about parking the other night
We was out on a back road
Me and my baby was just getting right
All systems on overload
Radio blasting in the front seat
Turning out the music fine
And we were snuggled up in the back seat
Making up for lost time

[Chorus]
Steamy windows
Zero visibility
Steamy windows
Coming from the body heat

[Verse 2]
You can wine and dine with a man all night
With good intent
But there is something about a confrontation on a back road
Breaks down the defense

[Chorus]
Steamy windows
Zero visibility
Steamy windows
Coming from the body heat
Steamy windows
Ain't nobody can see
Steamy windows
Coming from the body heat
[Bridge]
There's a sound outside the front door
And I know it's just the wind
But it makes him snuggle up just a little bit closer
And start things happen again
Yeah, yeah

[Chorus]
Steamy windows
Ain't nobody can see
Steamy windows
Coming from the body heat
Steamy windows
Zero visibility
Steamy windows
Coming from the body heat
Steamy windows
Steamy windows
Steamy windows
Zero visibility, yeah
Steamy windowsEmbedShare URLCopyEmbedCopy",r&b
384,Sparks,Slowboat,sad,"[Verse 1]
Slowboat takes me to your home every day
And I wait for you, knowing that you won't come home
Just today
For you've found someone new
And you've bid me adieu
And I leave you now
But I'll come back another day

[Chorus]
Oooh, sail me far away
Slowboat, bring me back another day
Oooh, sail me far away

[Verse 2]
Slowboat, sail off toward the seventh sea
Far away from you, but somehow coming close again
And again
And again as we near
From some sign, it appears
That you won't come home
You won't come home just today

[Chorus]
Oooh, sail me far away
Slowboat, bring me back another day
[Verse 3]
Slowboat takes me where I'll always be
Far away from you
But knowing that you won't come near me
But you hear me
And you'll always be
A true love to me
Though you're never home
But I'll come back another day

[Chorus]
Oooh, sail me far away
Slowboat, bring me back another day
Oooh, sail me far away
Slowboat, bring me back another day

Slowboat, bring me back another day
Oooh, sail me far away
Slowboat, bring me back another dayEmbedShare URLCopyEmbedCopy",rock
385,Idlewild,A Modern Way Of Letting Go,angry,"[Verse 1]
If I know, what I know, then no one will watch over you
So someone shouldn’t really tell me what I want to know
I know, I owe, and I know that matters don’t matter as much
As you think they do

[Chorus]
You will only be yourself
When you can never be yourself
And you will only be yourself
When you understand what you know
How long, will we go on with a modern way of letting go
Tell me how long will we go on with the modern way of letting you go?

[Verse 2]
If I know, what I know, losing isn’t learning to be lost
It’s learning to know when you’re lost
If I know, what I know
I’ll want to make the most of what it seems like

[Chorus]EmbedShare URLCopyEmbedCopy",rock
386,Anita Baker,My Funny Valentine,relaxed,"My funny Valentine, sweet comic Valentine
You make me smile with my heart
Your looks are laughable
Unphotographable
Yet you're my favorite work of art
Is your figure less than Greek?
Is your mouth a little weak?
When you open it to speak, are you smart?

Don't change your hair for me
Not if you care for me
Stay with me, Valentine, stay
Each day is Valentine's Day

[Break]

Baby, don't change your hair for me

Is your figure less than Greek?
Is your mouth a little weak?
When you open it to speak, are you...baby, are you smart?

Don't change your hair for me
Not if you care for me
Stay, little Valentine, why don't you stay with me, baby
And each day is Valentine's Day
Doo, wee, day
Every day is...
Every night is...
Every day, ooh, ooh...EmbedShare URLCopyEmbedCopy",r&b
387,Dark Sanctuary,Des Illusions,sad,"Un regard
Une illusion
Un sourire
Une autre illusion
Une main tendue
De nouveau une illusion

D'allusions sont faits mes rêves
D'illusions est faite ma quête

Le vide
La réalité
L'amertume
La dure réalité
La solitude
De nouveau la réalité

Je me suis lassée de cette humanité
J'ai la vision de lutter seule contre tousEmbedShare URLCopyEmbedCopy",new age
388,Eric Church,Lightning,sad,"[Verse 1]
These four walls of Farnsworth
Are closing' in on me
My final meal's over
They're going to set me free
I can feel the fire's a burning'
As the devil guards my door
I hit my knees in search of Jesus
On a cold jailhouse floor

[Chorus]
Lord, now I'm singing':
""Get me out of here""
I see the preacher's eyes
As my daughter cries
When they strap me in this chair
Lord, I hope she forgives me
For living' my life this way
Tonight I ride the lightning
To my final judgment day

[Verse 2]
Every life owes a debt
That's what the Bible says
I owe mine to this state
For shooting' that boy to death
A liquor store attendant
He was reaching' for his gun
Now his Momma sits there smiling'
As the boss yells ""Roll on one
[Chorus]
Lord, now I'm singing':
""Get me out of here""
I see the preacher's eyes
As my daughter cries
When they strap me in this chair
Lord, I hope she forgives me
For living' my life this way
Tonight I ride the lightning
To my final judgment day

[Verse 3]
A hungry blue eyed baby crying'
Made me rob that store
An' as that boy lay there dying'
I dropped my pistol on the floor
Yeah, I'd take it all back but there's nothing' I can do
They've covered my face
An' the order's gone through
As the boss yells ""Roll on, two""
Now I'm flying'
Up an' out of here
I close my eyes an' slowly rise
Let my body leave this chair
Lord I hope you forgive me
For living' my life this way
Yeah, tonight I ride the lightning
To my final resting' place
These four walls of Farnworth
Are closing' in on meEmbedShare URLCopyEmbedCopy",country
389,Enya,Less Than a Pearl,relaxed,"[English Lyrics]

[Intro]
Da rhay-sy o’
Mal lay-rhee o’
Sav-ay-ly o’
Kad-ay-ly o’

[Verse 1]
Hey o nay Kor-rhe-ay
Ah hey o nay ka ru mmay
Eh hymm a vl-la rhe-ea kan
Eh hymm a ka lla mmay o an
O ay ka nee hymm nno hymm
O ay ka nee hymm nno hymm a rhay

[Chorus]
Hii-yha…
Hii-yha…
Hii-yha…
Hii-yha…

[Verse 2]
He-ah vi-iya me-ne mmay
A he ah lu-ua no ee-tay
Eh o th-ay-a rhee lloo ka
Eh o mer-ra man a saa
Hey nal oroom-may hymm nno hymm
Ah hey nal ba-na hymm nno a rhay
[Chorus]
Hii-yha…
Hii-yha…
Hii-yha…
Hii-yha…

[Chorus]
Hii-yha…
Hii-yha…
Hii-yha…
Hii-yha…1EmbedShare URLCopyEmbedCopy",world/traditional
390,Pink Floyd,Take Up Thy Stethoscope and Walk,angry,"[Verse 1]
Doctor Doctor, I’m in bed
Doctor Doctor, aching head
Doctor Doctor, gold is lead
Doctor Doctor, choke on bread
Doctor Doctor, underfed
Doctor Doctor, gold is lead
Doctor Doctor, Jesus bled
Doctor Doctor, pain is red
Doctor Doctor, dark doom
Gruel ghoul, greasy spoon
Used spoon, June bloom

[Interlude]

[Verse 2]
Music seems to help the pain
Seems to motivate the brain
Doctor kindly tell your wife
That I’m alive
Flowers thrive
Realise
Realise
Realise3EmbedShare URLCopyEmbedCopy",rock
391,Tim Buckley,Dolphins,sad,"Sometimes I think about Saturday's child
And all about the times when we were running wild
I've been out searching for the dolphins in the sea
Ah, but sometimes I wonder, do you ever think of me?

This old world will never change the way it's been
And all our ways of war won't change it back again
I've been out searchin' for the dolphins in the sea
Ah, but sometimes I wonder, do you ever think of me?

Lord, I'm not the one to tell this old world how to get along
I only know that peace will come when all our hate is gone
I've been a-searchin' for the dolphins in the sea
Ah, but sometimes I wonder, do you ever think of meEmbedShare URLCopyEmbedCopy",rock
392,The Faint,Paranoiattack,happy,"The news has got me paranoid
Papers and the news reports
Casualties of every war
The anchor people keeping score
The weapons now are chemicals
In water and in air above
Circulating envelopes
In powder through the postal routes

The threat of a disease is here
We nipped it once without a cure
It took forever till it stopped
Through mandatory needle shots
They gave us all a little dose
Teach our bodies how to cope
Finally when we had it licked
Some terrorists were back with it

The propaganda's working now
I'm falling for it hook and reel
I'm stocking up on medicine
Buying tape to seal us off in

Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoia!
Paranoiattack
Paranoiawar
Paranoia sinks like a bomb

Paranoiathreat
Paranoiaffect
Paranoia drops bombs

Paranoia!EmbedShare URLCopyEmbedCopy",rock
393,Megadeth,Countdown to Extinction,angry,"[Verse 1]
Endangered species, caged in fright
Shot in cold blood, no chance to fight
The stage is set, now pay the price
An ego boost, don't think twice
Technology, the battle's unfair
You pull the hammer without a care
Squeeze the trigger that makes you man
Pseudo-safari, the hunt is canned
The hunt is canned...

[Chorus]
All are gone, all but one
No contest, nowhere to run
No more left, only one
This is it, this is the countdown to extinction

[Verse 2]
Tell the truth, you wouldn't dare
The skin and trophy, oh so rare
Silence speaks louder than words
Ignore the guilt, and take your turn
Liars' anagram is ""lairs""
Man, you were never even there
Killed a few feet from the cages
Point blank, you're so courageous
So courageous...
[Chorus]
All are gone, all but one
No contest, nowhere to run
No more left, only one
This is it, this is the countdown to extinction

[Spoken]
""One hour from now, another species of life form will disappear off the face of the planet... forever, and the rate is accelerating""

[Instrumental Break]

[Chorus]
All are gone, all but one
No contest, nowhere to run
No more left, only one
This is it, this is the countdown to extinction3EmbedShare URLCopyEmbedCopy",rock
394,Tanya Donelly,Keeping You,relaxed,"(T. Donelly)

I'm keeping you I'm keeping you
I'm keeping you so realize your fate
I'm keeping you I'm keeping you
I'm keeping you so settle down now

You landed here from inner space
You landed with that screwed-up look on your face
I wanted you from way back when
I wanted you for years, then years again

I'm keeping you I'm keeping you
I'm keeping you so settle in now

My return to wildlife by satellite
By beautiful moon-shining girl
Whether by hard ground or splashdown
We're safely back in the world

My heart's not new
I'm not like you
I've loved and been loved well and badly too
My body's been through everything
I've used and been used
I got over it
There's something that you learn on a tightrope
Just outside the spotlight there's a big net waiting for...
My return to wildlife by satellite
By beautiful moon-shining girl
Whether by hard ground or splashdown
We're safely back in the world

I'm keeping youEmbedShare URLCopyEmbedCopy",rock
395,The Cure,The Figurehead,sad,"[Verse 1]
Sharp and open, leave me alone
And sleeping less every night
As the days become heavier and weighted
Waiting in the cold light
A noise, a scream tears my clothes as the figurines tighten
With spiders inside them
And dust on the lips of a vision of hell
I laughed in the mirror for the first time in a year

[Verse 2]
A hundred other words blind me with your purity
Like an old painted doll in the throes of dance
I think about tomorrow, please let me sleep
As I slip down the window, freshly squashed fly

[Refrain]
You mean nothing
You mean nothing

[Verse 3]
I can lose myself in Chinese art and American girls
All the time, lose me in the dark, please do it right
Run into the night, I will lose myself tomorrow
Crimson pain, my heart explodes
My memory in a fire, and someone will listen
At least for a short while
[Bridge]
(I can never say no)
I can never say no to anyone but you

[Verse 4]
Too many secrets, too many lies
Writhing with hatred
Too many secrets, please make it good tonight
But the same image haunts me, in sequence, in despair of time

[Chorus]
I will never be clean again
I touched her eyes, pressed my stained face
I will never be clean again

[Outro]
Touched her eyes, press my stained face
I will never be clean again
I will never be clean again
I will never be clean again4EmbedShare URLCopyEmbedCopy",rock
396,Toni Basil,Mickey,happy,"[Refrain]
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey

[Verse 1]
Hey, Mickey
You've been around all night
And that's a little long
You think you've got the right
But I think you've got it wrong
Why can’t you say goodnight
So you can take me home Mickey?
'Cause when you say you will
It always means you won't
You're giving me the chills
Baby, please, baby, don't
Every night you still leave me all alone, Mickey
[Chorus]
Oh, Mickey, what a pity
You don't understand?
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand?
It's guys like you Mickey
Oh, what you do, Mickey, do Mickey
Don't break my heart, Mickey

[Verse 2]
Hey, Mickey
Now when you take me by the hooves
Everyone gonna know
Every time you move I let a little more show
It's something we can use
So don't say no, Mickey
So come on and give it to me anyway you can
Anyway you wanna do it
I'll take it like a man
Oh, please, baby, please
Don't leave me in the jam, Mickey

[Chorus]
Oh Mickey, what a pity
You don't understand?
You take me by the heart
When you take me by the hand
Oh Mickey, you're so pretty
Can't you understand?
It's guys like you, Mickey
Oh, what you do Mickey, do Mickey
Don't break my heart, Mickey
[Refrain]
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey
Oh, Mickey
You're so fine
You're so fine you blow my mind
Hey, Mickey

[Chorus]
Oh, Mickey, what a pity
You don't understand?
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand?
It's guys like you, Mickey
Oh, what you do Mickey, do Mickey
Don't break my heart, Mickey
Oh, Mickey, what a pity
You don't understand?
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand?
It's guys like you, Mickey
Oh, what you do Mickey, do Mickey
Don't break my heart, Mickey
Oh, Mickey, what a pity
You don't understand?
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand?
It's guys like you, Mickey
Oh, what you do Mickey, do Mickey
Don't break my heart, Mickey
Oh, Mickey, what a pity
You don't understand?
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand?
It's guys like you, Mickey
Oh, what you do Mickey, do Mickey
Don't break my heart, Mickey4EmbedShare URLCopyEmbedCopy",rock
397,Foo Fighters,"Cheer Up, Boys (Your Make Up Is Running)",happy,"[Verse 1]
It was meant to be, but all along it never meant a thing
Never stopped to ask you why you didn't pass me by
Did you see me when your life flashed before your eyes?
Was it just that I wasn't hard enough, hard enough for you?

[Pre-Chorus]
Stop using my
Confusion
Wait, wait

[Chorus]
There's a world out there (There's a world out there)
Don't you deny me (Don't you deny me)
Give me one last wish (Give me one last wish)
There's a world out there

[Verse 2]
Elementary, I solved them all, all your mysteries
Settle down and in good time, we can solve all mine
Tell me lies or tell me when, tell me off again
I will let you know when I've had enough, had enough of you

[Pre-Chorus]
Stop using my
Confusion
Wait, wait
[Chorus]
There's a world out there (There's a world out there)
Don't you deny me (Don't you deny me)
Give me one last wish (There's a world out there)
There's a world out there (Don't you deny me)

[Bridge]
I know you've got your reasons, hey, let's call it even
Turn out all the lights and go to bed
Still I get this feeling, no one will believe me
When I let these ghosts outside my head

[Guitar Riff]

[Chorus]
There's a world out there (There's a world out there)
Don't you deny me (Don't you deny me)
Give me one last wish (Give me one last wish)
Don't you deny me (Don't you deny me)
There's a world out there (There's a world out there)
Don't you deny me (Don't you deny me)
Give me one last wish (There's a world out there)
There's a world out there (Don't you deny me)2EmbedShare URLCopyEmbedCopy",metal
398,Ice Cube,Ghetto Vet,angry,"[Intro]
(Hey)
Hey Chop
(Hey)
These haters tried to blow me up, man
(Who is this)
The Don Mega, nigga, who you think
(Ey, homie, what happened)
My whole life flashed before my eyes, man

[Verse 1]
Life...
Niggas used to come and get me
When it was time to disagree with an enemy
Pass the Hennessy it gives me energy
Packed the gat in the small of my back
Where these niggas at, I'll clear the whole pack
Talking shit cause I'm down for my set
I'm a vet, smoking on a wet cigarette
Who these niggas think they are
Wishing on a ghetto star, I represent my tar
I start busting and they scatter like water bugs
Cause these Westside niggas is harder thugs
Enslave us but nothing can save us from sporting Ben Davis
Shootin' at your neighbors
Cause sometimes I feel like a nut
Don’t give a fuck when I open you up
Hot rocks
Fly from the back seat
And busta-ass niggas run like a track meet
And if you caught in the middle
Bleed more than a little (what)
Killer King is the hospital
Feeling numb from the bullets I hum
And when they hit
Black mothers have fits
I don’t give a shit
[Chorus]
Fool I'm a vet you can bet
That I could dance underwater and not get wet
Check it
It's raining bullets and I'm still there
I'm still there

[Verse 2]
My house shoes get wet from the dew on the grass
Up early in the morning taking out the trash
Feeling like a loser, alcohol abuser
Two youngsters roll up on a beach cruiser
One on the pedals, the other on the handle bars
Tryna be ghetto stars
They said, ""are you from the Westside is it so?""
I said, ""hell yeah and who want to know?""
Me
In slow mo’, .44 slugs, face down in the mud
Puddle full of blood
Left for dead, the pain starts to spread
Now I can’t feel my legs
I meet Doctor Who at King Drew medical center
As I enter I.C.U
He said the bullet hit a nerve that was vital
I said I can’t move my legs, he said don’t try to
Now this ain’t the end my friend but you'll probably never walk again
I sit there motionless holding this pain inside contemplating suicide
At night I jerk and jerk
But my dick don’t work it don’t even hurt
Now who'd ever thought a nigga rude as Ice Cube
A'be pissing through a tube
Fool I'm a vet
[Chorus]
Fool, I'm a vet you can bet
I can dance underwater and not get wet (check it)
It’s raining bullets and I'm still there
Young ghetto nigga in a wheelchair

[Verse 3]
Fuck a V-A they need G-A
Gang Hospital for a cripple
Now I'm drinking Ripple
Same corner, same hood I'm still there
With bandanas tied to my wheel chair
To all the hood rat hoes I'm fired
They mad cause my tongue get tired
Now everybody want to put they dope on me
Sayin I won't get searched by the LAPD
I'm sittin' in a doorway deuce-five
Depending on that to keep my ass alive
I don’t got bows but my arm's about a one-six
With fucking legs looking like tooth picks
Some times I can’t deal
Got to beg the BG's to roll me up the hill
Put me on the porch
Now I'm on the torch
Smoking cocaine
Just to maintain
Nothing to gain nothing to lose
And last night I couldn’t make it to the bathroom
Feeling like a 2-year-old
You can’t get a sip from the brew I hold
It’s the only friend to a stranger
AKA: handicapped gangbanger
There's a lot in my life I regret becoming a ghetto vet
Fool I'm a Vet
[Chorus]
Fool I'm a vet you can bet
That I could dance underwater and not get wet
Check it
It's raining bullets and I'm still there
I'm still there

Dedicated to all the ghetto vets
For every nigga that done took one for the hood9EmbedShare URLCopyEmbedCopy",hip hop
399,Slayer,Necrophiliac,angry,"[Verse 1]
Mortuaries, dead of night
My body starts to rise
In my mind, the horror lives
To feel death deep inside
Relentless lust of rotting flesh
To thrash the tomb she lies
Heathen whore of Satan's wrath
I spit at your demise

[Bridge 1]
Virgin child, now drained of life
Your soul cannot be free
Not given the chance to rot in Hell

[Verse 2]
Satan's cross points to Hell
The Earth, I must uncover
A passion grows to feast upon
The frozen blood inside her
I feel the urge, the growing need
To fuck the sinful corpse
My task complete, the bitch's soul
Lies raped in demonic lust

[Lead - King]
[Verse 3]
Her stomach bursts, the casket breaks
The seed has taken form
A writhing shape of twisted flesh
The Devil's child is thrown
Hungry for the smell of death
He rules forbidden evil
Vengeance with a frenzied hatred
The bastard now must die

[Bridge]
Lost souls of the dead
Form legions that burst through Hell's gates
Death of one sacrifice
To avenge the raped corpse from the grave
Blood of one mortal man
The fire grows stronger within
Fate of a frenzied lust
Lucifer takes my dark soul

[Outro]
Down to the fiery pits of Hell
Down to the fiery pits of
Hell

[Lead - Hanneman]EmbedShare URLCopyEmbedCopy",metal
